name,type,franchise,brand,year,condition,acquired,cost,value,notes,isSold,soldDate,soldPrice,ebayListed,ebaySold
Fantasy Boarboys (open),Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£11,,,FALSE,,,,
Fantasy 4th Ed Plastic Archers & Spearmen Box Sealed,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£11,,,TRUE,08/11/24,36,,
Fantasy 4th Ed Plastic Orc Warriors Bowmen Box Sealed,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£11,,,TRUE,31/10/24,35,,
Fantasy 4th Ed Plastic Archers & Spearmen Box Sealed,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,02/09/21,£11,,,TRUE,08/11/24,35,,
40k Ork Nob Mega Armour blister,Citadel Miniatures,Warhammer,Games Workshop,1993,Used - complete,12/01/22,£20,,,FALSE,,,,
Matt Trakker AFA UKG Graded MOC,Action Figures,M.A.S.K,Kenner,1987,Used - complete,16/01/22,£150.00,,,FALSE,,,,
Muck Man,Action Figures,Teenage Mutant Ninja Turtles,Super7,2022,Used - complete,12/02/22,£50.00,,,FALSE,,,,
CHAOS DWARF LORD ON GREAT TAURUS,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,16/02/22,£145.00,,,FALSE,,,,
CHIEFTAIN GROM'S GOBLIN WAR CHARIOT,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,10/03/22,£133.00,,,FALSE,,,,
x 3,Action Figures,Teenage Mutant Ninja Turtles,Playmates,2022,Used - complete,30/03/22,£48.00,,,FALSE,,,,
Blood Bowl Dark Elf Metal Team Naggaroth Nightmares,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,03/04/22,£54.00,,,FALSE,,,,
He-man origins,Action Figures,Masters of the Universe,Mattel,2022,Used - complete,01/06/22,£10.00,,,FALSE,,,,
Mutagen Man Action Figure Sealed Rare,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,21/09/22,£139.00,,,FALSE,,,,
"Slash 4"" Figure - Complete",Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,25/10/22,£38.00,,,FALSE,,,,
Classic Cohort Collection 4-Pack,Action Figures,Teenage Mutant Ninja Turtles,Playmates,2022,Used - complete,20/11/22,£66.28,,,TRUE,03/01/24,79,,
Mutagen Man reissue,Action Figures,Teenage Mutant Ninja Turtles,Playmates,2022,Used - complete,20/11/22,£35.00,,,FALSE,,,,
Fantasy Wood Elf Ariel Mage Queen Sealed Mint BNIB 4th / 5th Edition,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,04/12/22,£53.00,,,TRUE,26/02/24,75,,
Fantasy Savage Orc Boar Rider with Hand Weapon New in Blister Package,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,07/12/22,£9.50,,,FALSE,,,,
Fantasy Dwarf Gyrocopter,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,11/12/22,£87.00,,,TRUE,15/04/24,87,,
Goblins: Goblins Citadel Miniatures MIB 1,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,12/12/22,£34.00,,,FALSE,,,,
Goblins: Goblins Citadel Miniatures MIB 2,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,12/12/22,£34.00,,,FALSE,,,,
Goblins : Night Goblins Citadel Miniatures MIB,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,12/12/22,£77.01,,,FALSE,,,,
Goblins : Night Goblins Citadel Miniatures MIB 2,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,12/12/22,£34.00,,,FALSE,,,,
Goblins : Night Goblins Citadel Miniatures MIB 1,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,12/12/22,£82.01,,,FALSE,,,,
Goblins : Night Goblins Command Citadel Miniatures MIB,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,12/12/22,£39.90,,,FALSE,,,,
Goblins : Forest Goblin Champion MIB,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,12/12/22,£11.50,,,FALSE,,,,
Goblins : Night Goblins Fanatics Citadel Miniatures MIB,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,12/12/22,£51.00,,,FALSE,,,,
Undertaker Carded 1992 Series 4 Action Figure Graded UKG,Action Figures,WWF,Hasbro,1990,Used - complete,26/12/22,£287.00,,,FALSE,,,,
Classic Raphael,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,18/01/23,£20.00,,,FALSE,,,,
Elite Shinsuke,Action Figures,WWE,Mattel,2018,Used - complete,2023,£5.00,,,FALSE,,,,
Finn Balor NXT Elite Series 41 Demon King,Action Figures,WWE,Mattel,2018,Used - complete,2023,£5.00,,,TRUE,03/11/24,20,,
Slash Ultimate,Action Figures,Teenage Mutant Ninja Turtles,Super7,2023,Used - complete,26/01/23,£50.00,,,FALSE,,,,
Fantasy Dwarf Anvil of Doom Sealed,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,15/02/23,£110.00,,,FALSE,,,,
Empire Karl Franz on Deathclaw,Citadel Miniatures,Warhammer,Games Workshop,1994,Used - complete,15/02/23,£60.00,,,FALSE,,,,
G1 Original Production Model CEL GALVATRON,"Movie, TV Show Memorabilia",Transformers,Sunbrow,1986,Used - complete,26/02/23,£214.00,,,FALSE,,,,
Dead X Roadhouse Kit Inline Skate Wheels,Wheels,Senate,Senate,1995,Used - complete,07/03/23,£105.00,,,FALSE,,,,
PLAYMATES Classic Donatello Storage Shell,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,31/03/23,£14.00,,,FALSE,,,,
INLINE SKATE - GRIND PLATES - 1/4 SLOT STYLE REPO - NOS - NEW,Wheels,CDS Detroit,Other,1992,Used - complete,07/04/23,£14.50,,,FALSE,,,,
PLAYMATES Classic Foot Soldier,Action Figures,Teenage Mutant Ninja Turtles,Playmates,2023,Used - complete,08/04/23,£13.00,,,FALSE,,,,
PLAYMATES Classic Leatherhead,Action Figures,Teenage Mutant Ninja Turtles,Playmates,2023,Used - complete,08/04/23,£13.00,,,FALSE,,,,
Brand New Set Of 4 Packaged Fat Boys Inline Skating / Rollerblade Wheels,Wheels,Hyper,Other,1995,Used - complete,07/04/23,£30.00,,,FALSE,,,,
WRENCHES GRIND PLATES INLINE SKATING GREEN,Wheels,Senate,Senate,1995,Used - complete,16/03/23,£23.50,,,FALSE,,,,
Wheels Arlo Lone Stars Rare Aggressive Inline,Wheels,Senate,Senate,1995,Used - complete,09/04/23,£93.00,,,FALSE,,,,
